cmte_id,cand_id,cand_nm,recipient_nm,disb_amt,disb_dt,recipient_city,recipient_st,recipient_zip,disb_desc,memo_cd,memo_text,form_tp,file_num,tran_id,election_tp
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","US AIRWAYS",27,07-OCT-15,"PHOENIX","AZ","85034","TRAVEL","X","","SB23","1057556","SBCCUV45.9847","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","US AIRWAYS",200,07-OCT-15,"PHOENIX","AZ","85034","TRAVEL","X","","SB23","1057556","SBCCUV45.9848","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","US AIRWAYS",485.6,12-NOV-15,"PHOENIX","AZ","85034","TRAVEL","X","","SB23","1057556","SBUC23.288","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","US AIRWAYS",60,05-OCT-15,"PHOENIX","AZ","85034","TRAVEL","X","","SB23","1057556","SBUC23.315","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","US AIRWAYS",559,05-OCT-15,"PHOENIX","AZ","85034","TRAVEL","X","","SB23","1057556","SBUC23.275","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","JW MARRIOTT",508.25,05-OCT-15,"PHOENIX","AZ","85054","TRAVEL","X","","SB23","1057556","SBUC23.390","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","JW MARRIOTT",708.13,05-OCT-15,"PHOENIX","AZ","85054","TRAVEL","X","","SB23","1057556","SBUC23.391","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","GODADDY.COM",114.96,09-DEC-15,"SCOTTSDALE","AZ","85260","SUBSCRIPTIONS","X","","SB23","1057556","SBCCUV45.9581","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","GODADDY.COM",132.79,06-NOV-15,"SCOTTSDALE","AZ","85260","SUBSCRIPTIONS","X","","SB23","1057556","SBCCUV45.9572","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","GODADDY.COM",36.32,03-MAR-16,"SCOTTSDALE","AZ","85260","SUBSCRIPTIONS","X","","SB23","1066253","SB23CCUV.10140","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","GODADDY.COM",182.12,03-MAR-16,"SCOTTSDALE","AZ","85260","SUBSCRIPTIONS","X","","SB23","1066253","SB23CCUV.10141","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","BP GRAPHICS INC",96.22,09-DEC-15,"PHOENIX","AZ","85019","PRINTING","X","","SB23","1057556","SBCCUV45.9531","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","US AIRWAYS",-945.1,07-OCT-15,"PHOENIX","AZ","85034","CREDIT- TRAVEL","X","","SB23","1057556","SBCCUV45.9027","",
